run,fitness,matches,elapsed_time_seconds,expression,is_new_best
1,-5039.0,11,659.2768659591675,((n | (n + 10)) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),True
2,-5039.0,11,624.0342442989349,((n | (n + 10)) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
3,-5039.0,11,629.500091791153,((n | (n + 10)) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
4,-5039.0,11,631.0709965229034,((n | (n + 10)) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
5,-5039.0,11,605.1072673797607,((n | (n + 10)) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
6,-5041.0,11,585.7088258266449,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),True
7,-5041.0,11,553.9785394668579,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
8,-5041.0,11,549.8169419765472,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
9,-5041.0,11,551.6603636741638,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
10,-5041.0,11,559.3530125617981,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
11,-5041.0,11,555.0378456115723,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
12,-5041.0,11,566.7801797389984,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
13,-5041.0,11,560.7135946750641,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
14,-5041.0,11,572.6303191184998,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
15,-5041.0,11,562.7551534175873,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
16,-5041.0,11,568.0059380531311,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
17,-5041.0,11,554.3876819610596,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
18,-5041.0,11,560.6266512870789,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
19,-5041.0,11,580.4513628482819,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
20,-5041.0,11,579.3004088401794,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
21,-5041.0,11,566.7527315616608,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
22,-5041.0,11,552.9242327213287,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
23,-5041.0,11,547.192548751831,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
24,-5041.0,11,555.305773973465,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
25,-5041.0,11,561.4939806461334,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
26,-5041.0,11,552.792661190033,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
27,-5041.0,11,592.9091811180115,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
28,-5041.0,11,719.0723900794983,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
29,-5041.0,11,1062.7542698383331,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
30,-5041.0,11,1066.8762376308441,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
31,-5041.0,11,1053.6497011184692,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
32,-5041.0,11,1037.762506723404,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
33,-5041.0,11,1038.314641237259,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
34,-5041.0,11,1037.9977700710297,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
35,-5041.0,11,1042.1837768554688,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
36,-5041.0,11,1065.230324268341,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
37,-5041.0,11,1096.025437116623,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
38,-5041.0,11,745.1724190711975,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
39,-5041.0,11,558.1093013286591,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
