run,fitness,matches,elapsed_time_seconds,expression,is_new_best
1,-1385.0,7,428.10904240608215,((n + (n & ((n - 9) % n))) + cosh(log2((5 min n)))),True
2,-1385.0,7,463.5696361064911,((n + (n & ((n - 9) % n))) + cosh(log2((5 min n)))),False
3,-1385.0,7,445.14066100120544,((n + (n & ((n - 9) % n))) + cosh(log2((5 min n)))),False
4,-1385.0,7,446.7311701774597,((n + (n & ((n - 9) % n))) + cosh(log2((5 min n)))),False
5,-1385.0,7,442.1541414260864,((n + (n & ((n - 9) % n))) + cosh(log2((5 min n)))),False
6,-1385.0,7,448.0279235839844,((n + (n & ((n - 9) % n))) + cosh(log2((5 min n)))),False
7,-1385.0,7,438.478333234787,((n + (n & ((n - 9) % n))) + cosh(log2((5 min n)))),False
8,-1385.0,7,441.7937271595001,((n + (n & ((n - 9) % n))) + cosh(log2((5 min n)))),False
9,-1385.0,7,442.5997087955475,((n + (n & ((n - 9) % n))) + cosh(log2((5 min n)))),False
10,-1385.0,7,439.2565863132477,((n + (n & ((n - 9) % n))) + cosh(log2((5 min n)))),False
11,-2025.0,8,419.5350217819214,(cosh(log2(n)) + (n + ((n + (n & (6 % n))) // 6))),True
12,-2831.0,9,418.2375202178955,(cosh(log2(n)) + (n + ((n << (n & (6 % ((phi max 5) min n)))) // 6))),True
13,-2833.0,9,443.14817571640015,(cosh(log2(n)) + (n + ((n << (n & (6 % (5 min n)))) // 6))),True
14,-5043.0,11,449.82197737693787,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),True
15,-5043.0,11,503.258887052536,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
16,-5043.0,11,501.39754605293274,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
17,-5043.0,11,500.01980090141296,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
18,-5043.0,11,504.9665455818176,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
19,-5043.0,11,503.4556908607483,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
20,-5043.0,11,497.8847188949585,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
21,-5043.0,11,505.4515976905823,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
22,-5043.0,11,495.22350335121155,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
23,-5043.0,11,496.50151443481445,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
24,-5043.0,11,500.96189188957214,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
25,-5043.0,11,507.1414067745209,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
26,-5043.0,11,500.05593752861023,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
27,-5043.0,11,500.8977563381195,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
28,-5043.0,11,501.354220867157,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
29,-5043.0,11,508.95677042007446,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
30,-5043.0,11,503.9840466976166,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
31,-5043.0,11,498.1423182487488,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
32,-5043.0,11,502.38340878486633,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
33,-5043.0,11,495.6025686264038,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
34,-5043.0,11,500.06614446640015,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
35,-5043.0,11,499.13959312438965,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
36,-5043.0,11,507.5143072605133,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
37,-5043.0,11,509.7460443973541,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
38,-5043.0,11,499.03637623786926,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
39,-5043.0,11,501.0895962715149,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
40,-5043.0,11,497.6764335632324,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
41,-5043.0,11,501.10412883758545,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
42,-5043.0,11,496.9698369503021,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
43,-5043.0,11,506.9963665008545,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
44,-5043.0,11,499.6730306148529,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
45,-5043.0,11,501.3119361400604,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
46,-5043.0,11,498.5321943759918,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
47,-5043.0,11,500.23033022880554,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
48,-5043.0,11,499.8597483634949,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
49,-5043.0,11,497.41226744651794,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
50,-5043.0,11,498.2947664260864,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
51,-5043.0,11,500.2355396747589,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
52,-5043.0,11,499.4987485408783,(cosh(log2((10 min n))) + (n + ((n << (n & (n // 5))) // 6))),False
