fitness,matches,expression
-6480.0,12,"((5 | floor(nroot(n, ln2))) min ((n min 5) + cosh(log2((cosh(sqrt(n)) + (n // pi))))))"
-6478.0,12,"((5 | floor(nroot(n, ln2))) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5))))))"
-6477.0,12,((5 | (n + (5 << 2))) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5))))))
-5041.0,11,((pi ** 3) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5))))))
-5039.0,11,((n | (n + 10)) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5))))))
-3835.0,10,((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))
-2839.0,9,((sinh(n) % (cosh(n) % 3)) + (n ** sqrt2))
-2839.0,9,((sinh(n) % (cosh(n) % 3)) + (n ** sqrt2))
-2838.0,9,((n ** atan(((n % 2) + (5 min n)))) + phi)
-2838.0,9,(n + sinh(log2((cos(floor(cos(n))) + sinh(sqrt(n))))))
-2838.0,9,((n ** sqrt2) + sqrt(abs((n % (tanh(1) - 3)))))
-2837.0,9,((7 min n) + sqrt(((5 min n) ** sqrt(cosh(log2(n))))))
-2837.0,9,((7 min n) + sqrt(((5 min n) ** sqrt(cosh(log2(n))))))
-2837.0,9,(sqrt(((5 min n) ** sqrt(cosh(log2(n))))) + (7 min n))
-2837.0,9,(sqrt2 + ((5 min n) * ((7 min n) ** (n % catalan))))
-2836.0,9,(cosh(log2(n)) + (cosh(log2(n)) + sin(((9 & n) ** n))))
-2836.0,9,"(nroot(ceil(cosh(sqrt(n))), (cosh(cosh(sqrt2)) / (5 min n))) + n)"
-2835.0,9,(n + (((5 min n) ** log10(ceil(sinh(sqrt(n))))) ** cosh(sinh(catalan))))
-2835.0,9,"((n min 7) + (cosh((n / 2)) min cosh((n / nroot(n, ln10)))))"
-2834.0,9,(((cosh(log2(n)) // (3 | n)) + cosh(log2(n))) + (n // log(sqrt5)))
-2834.0,9,((n ** log(((5 min n) ** log_{((n | 1) + n)}(n)))) + n)
-2834.0,9,((((n // 9) + ((n // 7) + n)) * sqrt5) + (cos(n) // n))
-2833.0,9,"(((nroot(n, sqrt2) ** log((n min 5))) + (n // 9)) + (n // tan(7)))"
-2833.0,9,(((n min 5) ** (log10(n) + (n % catalan))) + (n min (10 - sqrt(7))))
-2832.0,9,"(((nroot(n, catalan) // catalan) // catalan) + ((n // 7) + (n + cos((n min 7)))))"
-2832.0,9,"(nroot((n // cos(tanh(log10(n)))), nroot(nroot((6 / sqrt(factorial(n))), 6), n)) + n)"
-2832.0,9,((n ** log10(((5 min n) ** phi))) + ((n + (n // 7)) + (n // 9)))
-2831.0,9,((n * sqrt5) + (((n // 9) * sqrt5) + (((n // 7) * sqrt5) + floor(cos(n)))))
-2830.0,9,((((n // 7) // (sin(n) % n)) + n) + ((n ** ((n min 5) / 4)) ** catalan))
-2829.0,9,"((floor((floor(nroot(n, tan(7))) + cos((n & (n % 7))))) + log10((n // tan(7)))) + n)"
-2030.0,8,(cosh(log2(n)) + ceil(cosh(log2((n min 7)))))
-2030.0,8,(ceil(cosh(log2(n))) + cosh(log2((n min 7))))
-2030.0,8,(ceil(cosh(log2((7 min n)))) + cosh(log2(n)))
-2030.0,8,(cosh(log2((7 min n))) + ceil(cosh(log2(n))))
-2030.0,8,(cosh(log2(n)) + ceil(cosh(log2((n min 7)))))
-2030.0,8,(ceil(cosh(log2((n min 7)))) + cosh(log2(n)))
-2030.0,8,(ceil(cosh(log2(n))) + cosh(log2((n min 7))))
-2030.0,8,(ceil(cosh(log2(n))) + cosh(log2((7 min n))))
-2030.0,8,(cosh(log2(n)) + ceil(cosh(log2((n min 7)))))
-2030.0,8,(cosh(log2(n)) + ceil(cosh(log2((n min 7)))))
-2030.0,8,(cosh(log2((n min 7))) + ceil(cosh(log2(n))))
-2030.0,8,(ceil(cosh(log2((n min 7)))) + cosh(log2(n)))
-2030.0,8,(ceil(cosh(log2((n min 7)))) + cosh(log2(n)))
-2030.0,8,(ceil(cosh(log2(n))) + cosh(log2((n min 7))))
-2029.0,8,(((n + (n // 7)) * sqrt5) + floor(cos(n)))
-2028.0,8,"(nroot(n, sin(cosh(cos(sinh(n))))) + (cos(n) + n))"
-2028.0,8,(((n // cos(atan(euler_gamma))) // cos(atan(2))) + cos(n))
-2027.0,8,(tanh(tan(factorial(n))) + ((n + (n // 7)) / log(phi)))
-2027.0,8,(cos(n) + ((n // asin(asin(ln2))) // log(atan(sinh(6)))))
-2026.0,8,((n // log(sqrt5)) + ((n // (7 | n)) + cosh(log2(n))))
-2026.0,8,((atan((n | 6)) ** (sqrt3 + n)) min ((pi + n) + n))
-2026.0,8,sinh(sqrt((sinh((e min sqrt(n))) + (n min (e + log2(n))))))
-2026.0,8,(((n & 7) // 5) + ((n // tan(7)) + cosh(log2(n))))
-2026.0,8,(log_{4}(n) + (n + (sqrt(n) ** ((n // sqrt5) min sqrt5))))
-2025.0,8,(n + ((cosh(log2(n)) + ((n & 7) // 7)) + (n // 5)))
-2025.0,8,(((cosh(log2(n)) + n) + (n // 5)) + (n // (n | 7)))
-2025.0,8,"((n / tanh(tanh(sinh((tan(n) % 8))))) + nroot(n, (9 // n)))"
-2025.0,8,(((cosh(log2(n)) + n) + ((n & 7) // 5)) + (n // 7))
-2025.0,8,(n + ((n + (((n & 7) // ln2) - tan(n))) ** log10(n)))
-2025.0,8,"((sqrt(nroot(n, (sqrt5 / (5 min n)))) + (sqrt2 % atan(n))) + n)"
-2025.0,8,((n + (log2(cosh(((n - 9) ^ 6))) // 5)) + cosh(log2(n)))
-2025.0,8,"(n + nroot(sinh(n), (3 - log10((9 - (n | (7 // n)))))))"
-2024.0,8,((n + cos(n)) + (n + ((n | (n << (n // 7))) // 5)))
-2024.0,8,((n & (6 min n)) + sqrt(cosh((tanh((n // 6)) - (n - euler_gamma)))))
-2024.0,8,((n ** (log_{(n + n)}(n) * log((n min 5)))) + (n min 7))
-2024.0,8,(n + ((((n * tan(4)) // 1) * tan(4)) + cos((n min 7))))
-2024.0,8,(((cosh((n / 2)) min (cosh((n % 6)) * 7)) min cosh(pi)) + n)
-2023.0,8,((((n ** ((n min 7) / 6)) + n) ** ((n min 5) / 6)) + n)
-2022.0,8,((cosh(log2(((n + euler_gamma) + floor(cos((n min 7)))))) + n) + (cos(n) % catalan))
-2021.0,8,cosh(sqrt((sinh(sqrt((sinh(sqrt(n)) + log10(2)))) + (5 min (n / factorial(floor(log(n))))))))
-2021.0,8,(((sqrt2 ** sinh(log2(n))) max ((sqrt2 ** (log(7) + n)) min (7 + n))) min log(c))
-2021.0,8,"(sqrt2 + (((nroot((1 << n), sqrt5) + n) min (n * sqrt5)) min nroot((n << n), sqrt5)))"
-2015.0,8,(n + ((n + ((n + (n % ((n * n) / 6))) ** ((5 min n) / 6))) ** ((5 min n) / 6)))
-1392.0,7,(cosh(log2(n)) + ceil(cosh(log2(n))))
-1392.0,7,(ceil(cosh(log2(n))) + cosh(log2(n)))
-1391.0,7,(n + sqrt(sqrt(cosh(ceil((n * sqrt2))))))
-1391.0,7,(sqrt(sqrt(cosh(ceil((sqrt2 * n))))) + n)
-1391.0,7,(sqrt5 + ((n // ln10) + log2(factorial(n))))
-1391.0,7,"(2 ** nroot(8, nroot((n | 9), n)))"
-1390.0,7,"(n + nroot(sinh((n + ceil(log2(n)))), 4))"
-1389.0,7,"((nroot((n min 5), 6) ** (n + sqrt3)) + n)"
-1389.0,7,(((n min 5) ** ((sqrt3 + n) / 6)) + n)
-1389.0,7,"(nroot(cosh(n), e) + nroot(cosh((5 min n)), sqrt5))"
-1389.0,7,((n ** atan((n - cos((n % 3))))) + sqrt3)
-1389.0,7,((n ** atan((n + cos((n ** 2))))) + phi)
-1389.0,7,log2((4 * ((ln10 ** (n // ln10)) * factorial(n))))
-1389.0,7,(sqrt2 + (n ** sinh(atan(log2((n min sinh(sqrt5)))))))
-1389.0,7,"(nroot((5 min n), atan(cos((n / 8)))) + 1)"
-1389.0,7,(n + (log2(log((10 | (6 min n)))) ** n))
-1388.0,7,((log(n) * n) + ceil(sqrt(cosh((tan(9) * n)))))
-1388.0,7,((n min 5) + sqrt((n ** sqrt((n ** tanh(pi))))))
-1388.0,7,sinh(sqrt(((5 min n) + sinh(((n / 4) + 1)))))
-1388.0,7,((n ** log_{(5 min (5 + sin(n)))}(n)) + n)
-1388.0,7,sinh(sqrt((ln2 + floor(((5 min n) + sinh(sqrt(n)))))))
-1388.0,7,(sqrt((n ** sqrt((n + sin((2 ^ n)))))) + n)
-1388.0,7,(((n % atan(n)) + cosh(log2(n))) + cosh(log2(n)))
-1388.0,7,"(nroot(sinh(n), ((sinh(n) % tanh(1)) + 2)) + n)"
-1388.0,7,sinh(sqrt((ln2 + floor(((n min 5) + sinh(sqrt(n)))))))
-1388.0,7,sinh(sqrt((ln2 + floor(((5 min n) + sinh(sqrt(n)))))))
-1388.0,7,sinh(sqrt((ln2 + floor(((5 min n) + sinh(sqrt(n)))))))
