fitness,matches,expression
-2836.0,9,(cosh(log2(n)) + ceil(((n * cosh(cos(n))) min cosh(log2(n)))))
-2834.0,9,(cosh(log2(n)) + ceil((((tan(n) + n) + cosh(e)) min cosh(log2(n)))))
-2024.0,8,"(nroot(nroot(n, catalan), (catalan max (cos(n) max ((e * phi) / n)))) + n)"
-2023.0,8,"(n + ((n ** catalan) ** ((n / ceil((n / atan(n)))) min nroot(n, n))))"
-2018.0,8,((((sqrt((n ** catalan)) + n) + n) + sin(n)) min (((log2(n) ** log2(n)) + sin(n)) + n))
-1392.0,7,(ceil(cosh(log2(n))) + cosh(log2(n)))
-1392.0,7,(cosh(log2(n)) + ceil(cosh(log2(n))))
-1392.0,7,(ceil(cosh(log2(n))) + cosh(log2(n)))
-1392.0,7,(ceil(cosh(log2(n))) + cosh(log2(n)))
-1392.0,7,(cosh(log2(n)) + ceil(cosh(log2(n))))
-1392.0,7,(ceil(cosh(log2(n))) + cosh(log2(n)))
-1392.0,7,(ceil(cosh(log2(n))) + cosh(log2(n)))
-1392.0,7,(ceil(cosh(log2(n))) + cosh(log2(n)))
-1392.0,7,(cosh(log2(n)) + ceil(cosh(log2(n))))
-1392.0,7,(ceil(cosh(log2(n))) + cosh(log2(n)))
-1392.0,7,(cosh(log2(n)) + ceil(cosh(log2(n))))
-1392.0,7,(ceil(cosh(log2(n))) + cosh(log2(n)))
-1392.0,7,(cosh(log2(n)) + ceil(cosh(log2(n))))
-1392.0,7,(cosh(log2(n)) + ceil(cosh(log2(n))))
-1392.0,7,(ceil(cosh(log2(n))) + cosh(log2(n)))
-1392.0,7,(ceil(cosh(log2(n))) + cosh(log2(n)))
-1391.0,7,"(cosh(log2(n)) + floor(nroot(n, sin(avogadro))))"
-1389.0,7,(n + (n ** log_{((n // e) + pi)}(n)))
-1389.0,7,(phi + (n ** atan((sin((n * phi)) + n))))
-1389.0,7,"sinh(cosh((nroot(n, e) min (tan(avogadro) max log(n)))))"
-1389.0,7,(((n + cosh(log2(n))) // phi) + cosh(log2(n)))
-1388.0,7,((cosh(log2(n)) // tanh(n)) + (cosh(log2(n)) + catalan))
-1388.0,7,((floor(cosh(log2(n))) + cos(atan(euler_gamma))) + cosh(log2(n)))
-1388.0,7,(((n // sin(acos(atan(log10(n))))) // atan(euler_gamma)) max e)
-1388.0,7,(((n + (n / cos(sin(n)))) ** log10(n)) + n)
-1387.0,7,((cosh(log2(n)) + abs(cos((e ** n)))) + cosh(log2(n)))
-1386.0,7,((n ** catalan) + cosh(log2((n + (cosh(log2(n)) // ceil(pi))))))
-1386.0,7,((n ** atan(n)) + (n ** ((sinh(n) ** euler_gamma) % sinh(euler_gamma))))
-1385.0,7,(((phi ** n) min (n + n)) + (((phi ** n) // n) ** catalan))
-1385.0,7,"(cosh((log2(ceil(nroot((n ** n), n))) max log2(cosh(log2(n))))) + n)"
-1385.0,7,(((n + cos((n * n))) / sin(sqrt((n ** sin(avogadro))))) + n)
-1385.0,7,((n ** euler_gamma) + sqrt(sinh((n min ((e + e) max (n - catalan))))))
-1384.0,7,((cosh(log2(n)) // sin(tanh((cosh(log2(n)) // tanh(n))))) + cosh(log2(n)))
-1384.0,7,((log10(n) // cos(euler_gamma)) + ((n // (log(catalan) + catalan)) + cosh(log2(n))))
-1383.0,7,((sqrt(((factorial(n) // e) + e)) % (n + (n // (n min phi)))) + n)
-1383.0,7,(cos(n) + (n + ((n + ((n * asin(catalan)) % asin(catalan))) * asin(catalan))))
-1381.0,7,ceil((((phi ** n) ** tanh(((e * e) - n))) max ((n * catalan) / (e / n))))
-1381.0,7,"((nroot(n, (pi // (n / pi))) + (n + log(n))) max sinh(((n // phi) ** catalan)))"
-1379.0,7,((n + ((n ** (phi * log10(n))) min cosh(e))) max (log2(n) + (n ** (phi * log10(n)))))
-1378.0,7,((sqrt((n + phi)) ** sqrt(n)) max ((sqrt((n + phi)) ** sqrt((n + phi))) min (sinh(pi) + phi)))
-902.0,6,(cos(n) + (n // log(acos(boltzmann))))
-901.0,6,(sinh((cosh((n / pi)) min e)) + n)
-901.0,6,"((n + cos(sinh(n))) + nroot(n, catalan))"
-901.0,6,"((tanh(cos(n)) + nroot(n, catalan)) + n)"
-901.0,6,(ceil((cosh(log2(n)) + n)) + cos(n))
-901.0,6,"((n + nroot(n, catalan)) + cos(cosh(n)))"
-901.0,6,"((nroot(n, catalan) + cos(cosh(n))) + n)"
-901.0,6,"((cos(cosh(n)) + nroot(n, catalan)) + n)"
-901.0,6,"((n + nroot(n, catalan)) + atan(cos(n)))"
-901.0,6,"(cos(cosh(n)) + (n + nroot(n, catalan)))"
-901.0,6,"((n + cos(cosh(n))) + nroot(n, catalan))"
-901.0,6,"((nroot(n, catalan) + cos(sinh(n))) + n)"
-901.0,6,"((cos(sinh(n)) + nroot(n, catalan)) + n)"
-901.0,6,"cosh(cosh(nroot((n min (e + e)), e)))"
-901.0,6,"(n + (cos(sinh(n)) + nroot(n, catalan)))"
-901.0,6,"(nroot(n, catalan) + (n + cos(cosh(n))))"
-901.0,6,"(tanh(cos(n)) + (nroot(n, catalan) + n))"
-901.0,6,"(tanh(cos(n)) + (n + nroot(n, catalan)))"
-901.0,6,(cos(n) + ((asin(catalan) * n) + n))
-901.0,6,"((cos(sinh(n)) + nroot(n, catalan)) + n)"
-901.0,6,"(nroot(n, catalan) + (atan(cos(n)) + n))"
-901.0,6,"((n + cos(sinh(n))) + nroot(n, catalan))"
-901.0,6,"(cos(sinh(n)) + (nroot(n, catalan) + n))"
-901.0,6,"(nroot(n, catalan) + (n + cos(cosh(n))))"
