fitness,matches,expression
-6474.0,12,"(((cos(n) min (cos((n * n)) / factorial(n))) + n) + ((n // nroot(catalan, (n % pi))) // cos(log10(n))))"
-6474.0,12,"((((cos(n) // factorial(n)) min cos((n * n))) + n) + ((n // nroot(catalan, (n % pi))) // cos(log10(n))))"
-3827.0,10,"(((cos(n) min cos(factorial(n))) + n) + ((n // nroot(catalan, catalan)) // cos(log10(n))))"
-3825.0,10,"(((cos(n) min cos(factorial(n))) + n) + ((n // nroot(catalan, tan(tanh(catalan)))) // cos(log10(n))))"
-3823.0,10,(((((sqrt(phi) ** n) max n) // cos(log10(n))) + (cos(factorial(n)) min cos(n))) + n)
-2834.0,9,(((n // cos(log10(n))) + (cos(factorial(n)) min cos(n))) + n)
-2834.0,9,((n + (n // cos(log10(n)))) + (cos(factorial(n)) min cos(n)))
-2834.0,9,(((cos(n) min cos(factorial(n))) + n) + (n // cos(log10(n))))
-2834.0,9,((n + (cos(n) min cos(factorial(n)))) + (n // cos(log10(n))))
-2834.0,9,(((cos(factorial(n)) min cos(n)) + n) + (n // cos(log10(n))))
-2834.0,9,((n + (n // cos(log10(n)))) + (cos(n) min cos(factorial(n))))
-2834.0,9,((n + (n // cos(log10(n)))) + (cos(log2((n ** n))) min cos(n)))
-2833.0,9,(((cos((n * n)) min cos(n)) + n) + (n // cos(log10(n))))
-2833.0,9,((n + (n // cos(log10(n)))) + (cos((n * n)) min cos(n)))
-2833.0,9,"((nroot(n, catalan) // catalan) + cosh(log_{log10(pi)}(n)))"
-2832.0,9,"((nroot(n, catalan) // catalan) + cosh(log2((n ** tanh(pi)))))"
-2832.0,9,(((cosh(log2(n)) + n) // log2(pi)) + cosh((log(n) + log10(n))))
-2830.0,9,(((cosh(log2(n)) + n) // log2(pi)) + cosh((log2(n) + log_{h}(n))))
-2829.0,9,(((cosh(log2(n)) + n) // log2(pi)) + cosh((log2(n) - log_{h}(euler_gamma))))
-2826.0,9,"(((log10((n * nroot(sinh(n), pi))) + n) + cosh(log2(n))) + (cos((n * n)) // n))"
-2824.0,9,"(((log10((n * (n max nroot(sinh(n), pi)))) + n) + cosh(log2(n))) + (cos((n * n)) // n))"
-2822.0,9,"(((log10((n * ((n / n) max nroot(sinh(n), pi)))) + n) + cosh(log2(n))) + (cos((n * n)) // n))"
-2024.0,8,((cosh(log2(n)) + ceil(cosh(log2(n)))) min log(c))
-2024.0,8,((((n + n) + atan(cos(n))) // phi) + cosh(log2(n)))
-2023.0,8,(cosh(log2(((e * e) min n))) + ceil(cosh(log2(n))))
-2023.0,8,(cos(((c >> n) >> n)) + ((log10(n) + cosh(log2(n))) + n))
-2022.0,8,(cos(((n * (n + n)) >> n)) + ((log10(n) + cosh(log2(n))) + n))
-2022.0,8,(((log10((n * n)) + n) + cosh(log2(n))) + (cos((n * n)) // n))
-2021.0,8,((n + (cos(n) min cos(factorial(n)))) + (n + (n - ceil((n min pi)))))
-2020.0,8,(((log10((n * n)) + n) + cosh(log2(n))) + (cos((n * n)) // log(e)))
-1390.0,7,(cosh(log2(n)) + ceil(cosh(log2(n))))
-1390.0,7,(ceil(cosh(log2(n))) + cosh(log2(n)))
-1389.0,7,(cosh(log2(n)) + floor(log2((n + cosh(n)))))
-1388.0,7,"((nroot(n, catalan) // catalan) + cosh(log2(n)))"
-1387.0,7,(cosh(log2(n)) + floor(cosh(log2((n + euler_gamma)))))
-1386.0,7,(((cosh(log2(n)) + n) // phi) + cosh(log2(n)))
-1386.0,7,((n + cos((n * n))) + sinh(sqrt(log2(sinh(n)))))
-1384.0,7,(((cos(n) + n) + n) + (n % ((n - pi) % n)))
-1383.0,7,(n + cosh(log2((log10(ceil(abs(tan(n)))) + cosh(log2(n))))))
-1383.0,7,((n max cosh(log2(cosh(log2(n))))) + (n + cos((n * n))))
-1381.0,7,"(n + (nroot((n // nroot(catalan, euler_gamma)), (catalan ** catalan)) + cos(n)))"
-1381.0,7,"((n + cos(n)) + (n + (((n % nroot(n, n)) % euler_gamma) * n)))"
-1380.0,7,(((sinh(log10(n)) + n) + (n + cos(n))) max (catalan + (n ** atan(n))))
-1380.0,7,"(nroot(n, catalan) + ((n // atan(sinh(cosh((h - G))))) + sin(cos(n))))"
-1380.0,7,"((sin(cos(n)) + (nroot(n, catalan) + n)) + ((n + catalan) // cosh(e)))"
-1380.0,7,(((n + cos(n)) / (cos((euler_gamma max cos(n))) max cos(n))) + (n & n))
-1380.0,7,"(((n // log_{abs(catalan)}(euler_gamma)) + (n + nroot(n, catalan))) + sin(cos(n)))"
-1380.0,7,((n ** log10((n + ((n + phi) - (tan(n) / sqrt(n)))))) + n)
-1379.0,7,"(((nroot(n, catalan) + cos(n)) + cos(((n * e) - euler_gamma))) + n)"
-1379.0,7,((((cos(n) * (n & (n + (n + n)))) max cos(n)) + n) + n)
-1379.0,7,"(((nroot(n, catalan) + n) + atan(cos(n))) max ((cos(n) + n) // (pi / n)))"
-1378.0,7,(((asin(catalan) * n) % asin(catalan)) + ((asin(catalan) * n) + (n + cos(n))))
-1378.0,7,"((nroot((n + cos(n)), (catalan max cos(n))) + n) + floor(tanh(sqrt((n * log(avogadro))))))"
-1375.0,7,((sqrt((phi + n)) ** sqrt((phi + n))) min ((n + (n >> (neg(n) & n))) + n))
-1370.0,7,(phi + (n + (log10((((n * n) min log10(avogadro)) - (log10((n max (pi max sin(n)))) min log10(avogadro)))) ** n)))
-1367.0,7,((cos(n) + (n max (factorial(n) // cosh(n)))) + (n * log(pi)))
-899.0,6,"((nroot(n, catalan) + n) + atan(cos(n)))"
-899.0,6,"((n + nroot(n, catalan)) + atan(cos(n)))"
-899.0,6,"(sin(cos(n)) + (nroot(n, catalan) + n))"
-899.0,6,"((tanh(cos(n)) + nroot(n, catalan)) + n)"
-899.0,6,"(nroot(n, catalan) + (n + tanh(cos(n))))"
-899.0,6,"(tanh(cos(n)) + (n + nroot(n, catalan)))"
-899.0,6,"(sin(cos(n)) + (n + nroot(n, catalan)))"
-899.0,6,"(n + (nroot(n, catalan) + atan(cos(n))))"
-899.0,6,"(n + (tanh(cos(n)) + nroot(n, catalan)))"
-899.0,6,"((n + atan(cos(n))) + nroot(n, catalan))"
-899.0,6,"((nroot(n, catalan) + tanh(cos(n))) + n)"
-899.0,6,"((sin(cos(n)) + n) + nroot(n, catalan))"
-899.0,6,"(n + (nroot(n, catalan) + tanh(cos(n))))"
-899.0,6,"(nroot(n, catalan) + (tanh(cos(n)) + n))"
-899.0,6,"((nroot(n, catalan) + atan(cos(n))) + n)"
-899.0,6,"(nroot(n, catalan) + (sin(cos(n)) + n))"
-899.0,6,"((tanh(cos(n)) + n) + nroot(n, catalan))"
-899.0,6,"(n + (nroot(n, catalan) + sin(cos(n))))"
-899.0,6,"((nroot(n, catalan) + n) + sin(cos(n)))"
-899.0,6,"((nroot(n, catalan) + sin(cos(n))) + n)"
-899.0,6,"((n + nroot(n, catalan)) + tanh(cos(n)))"
-899.0,6,"(nroot(n, catalan) + (n + atan(cos(n))))"
-899.0,6,"(atan(cos(n)) + (n + nroot(n, catalan)))"
-899.0,6,(cos(n) + (n // sinh(log10(e))))
-899.0,6,"((nroot(n, catalan) + n) + tanh(cos(n)))"
-899.0,6,"((sin(cos(n)) + nroot(n, catalan)) + n)"
-899.0,6,"((atan(cos(n)) + nroot(n, catalan)) + n)"
-899.0,6,"(tanh(cos(n)) + (nroot(n, catalan) + n))"
-899.0,6,"(nroot(n, catalan) + (n + sin(cos(n))))"
-899.0,6,"((n + sin(cos(n))) + nroot(n, catalan))"
-899.0,6,"(n + (sin(cos(n)) + nroot(n, catalan)))"
-899.0,6,"((atan(cos(n)) + n) + nroot(n, catalan))"
-899.0,6,"((n + tanh(cos(n))) + nroot(n, catalan))"
-899.0,6,((n // sin(sqrt(catalan))) + cosh(log2(n)))
-899.0,6,"(nroot(n, catalan) + (atan(cos(n)) + n))"
-899.0,6,(cosh(log2(n)) + (n // tan(log2(phi))))
-899.0,6,"(atan(cos(n)) + (nroot(n, catalan) + n))"
-899.0,6,((n // sinh(log10(e))) + cos(n))
-899.0,6,"(n + (atan(cos(n)) + nroot(n, catalan)))"
-898.0,6,((n * asin(catalan)) + (n + cos(n)))
-898.0,6,"(nroot(n, catalan) + (n + cos(sinh(n))))"
-898.0,6,((n / (phi % euler_gamma)) + cos(n))
-898.0,6,"(nroot(n, catalan) + (cos(cosh(n)) + n))"
-898.0,6,"((cos(cosh(n)) + nroot(n, catalan)) + n)"
-898.0,6,((n + (asin(catalan) * n)) + cos(n))
-898.0,6,(((asin(log10(n)) + n) + cos(n)) + n)
-898.0,6,"((cos(cosh(n)) + n) + nroot(n, catalan))"
-898.0,6,"(n + (nroot(n, catalan) + cos(sinh(n))))"
-898.0,6,(((log(pi) * n) + n) + cos(n))
-898.0,6,(n + (cos(n) + (n * log(pi))))
-898.0,6,((n * log(pi)) + (n + cos(n)))
-898.0,6,(sinh(log10(n)) + ((cos(n) + n) + n))
-898.0,6,(((n * log(pi)) + cos(n)) + n)
-898.0,6,(n + (n + (asin(log10(n)) + cos(n))))
-898.0,6,((cos(n) + n) + (asin(catalan) * n))
-898.0,6,(cos(n) + ((log(pi) * n) + n))
-898.0,6,(floor((n ** asin(catalan))) + (cos(n) + n))
-898.0,6,((log(pi) * n) + (cos(n) + n))
-898.0,6,(cos(n) + (n + (sinh(log10(n)) + n)))
-898.0,6,(((asin(log10(n)) + cos(n)) + n) + n)
-898.0,6,(((n + n) + asin(log10(n))) + cos(n))
-898.0,6,((n + (n + sinh(log10(n)))) + cos(n))
-898.0,6,(n + (cos(n) + (asin(catalan) * n)))
-898.0,6,((n + cos(n)) + (asin(catalan) * n))
-898.0,6,"((nroot(n, catalan) + n) + cos(cosh(n)))"
-898.0,6,((n + n) + (cos(n) + sinh(log10(n))))
-898.0,6,(((sinh(log10(n)) + n) + cos(n)) + n)
-898.0,6,((cos(n) + n) + (n * log(pi)))
-898.0,6,((n + cos(n)) + (sinh(log10(n)) + n))
-898.0,6,(sinh(log10(n)) + ((n + cos(n)) + n))
-898.0,6,(n + (asin(log10(n)) + (cos(n) + n)))
-898.0,6,(cos(n) + ((n * log(pi)) + n))
-898.0,6,"((cos(sinh(n)) + nroot(n, catalan)) + n)"
-898.0,6,"((n + nroot(n, catalan)) + cos(cosh(n)))"
-898.0,6,(n + ((n + sinh(log10(n))) + cos(n)))
-898.0,6,(cos(n) + ((n + asin(log10(n))) + n))
-898.0,6,((sinh(log10(n)) + n) + (cos(n) + n))
-898.0,6,(cos(n) + ((n * asin(catalan)) + n))
-898.0,6,(sinh(log10(n)) + ((n + n) + cos(n)))
-898.0,6,((n + tanh((cosh(n) / cos(n)))) + n)
-898.0,6,((cos(n) + asin(log10(n))) + (n + n))
-898.0,6,"(cos(cosh(n)) + (nroot(n, catalan) + n))"
