run,fitness,matches,elapsed_time_seconds,expression,is_new_best
1,-24657.0,19,4094.9592897892,((((n ** (catalan ** (catalan max cos((n ** (catalan ** (n ** euler_gamma))))))) + (atan(n) % tanh(((n // (catalan ** catalan)) % atan(n))))) ** atan(n)) + (n ** euler_gamma)),True
2,-24657.0,19,4406.203259706497,((((n ** (catalan ** (catalan max cos((n ** (catalan ** (n ** euler_gamma))))))) + (atan(n) % tanh(((n // (catalan ** catalan)) % atan(n))))) ** atan(n)) + (n ** euler_gamma)),False
3,-12370.0,15,2808.2261307239532,((((n ** (catalan ** catalan)) + (atan(n) % tanh(((n // cos(sin(e))) % atan(n))))) ** atan(n)) + (n ** euler_gamma)),False
4,-24657.0,19,4455.815518379211,((((n ** (catalan ** (catalan max cos((n ** (catalan ** (n ** euler_gamma))))))) + (atan(n) % tanh(((n // (catalan ** catalan)) % atan(n))))) ** atan(n)) + (n ** euler_gamma)),False
5,-21050.0,18,3806.6161575317383,"((((n ** ((catalan ** catalan) min (catalan ** cos(sin(nroot(c, n)))))) + (atan(n) % tanh(((n // cos(sin(e))) % atan(n))))) ** atan(n)) + (n ** euler_gamma))",False
6,-24657.0,19,4424.079789638519,((((n ** (catalan ** (catalan max cos((n ** (catalan ** (n ** euler_gamma))))))) + (atan(n) % tanh(((n // (catalan ** catalan)) % atan(n))))) ** atan(n)) + (n ** euler_gamma)),False
7,-24657.0,19,4420.732159137726,((((n ** (catalan ** (catalan max cos((n ** (catalan ** (n ** euler_gamma))))))) + (atan(n) % tanh(((n // (catalan ** catalan)) % atan(n))))) ** atan(n)) + (n ** euler_gamma)),False
8,-12370.0,15,2817.247329711914,((((n ** (catalan ** catalan)) + (atan(n) % tanh(((n // cos(sin(e))) % atan(n))))) ** atan(n)) + (n ** euler_gamma)),False
9,-24658.0,19,3597.272105693817,((((n ** (catalan ** (catalan max cos((n ** (catalan ** (n ** euler_gamma))))))) + (atan(n) % tanh(((n // cos(sin(e))) % atan(n))))) ** atan(n)) + (n ** euler_gamma)),True
10,-24654.0,19,3626.822037935257,((((n ** ((catalan ** catalan) min (catalan ** cos(sin((n ** (catalan ** (n ** euler_gamma)))))))) + (atan(n) % tanh(((n // cos(sin(e))) % atan(n))))) ** atan(n)) + (n ** euler_gamma)),False
11,-24658.0,19,3398.9377105236053,((((n ** (catalan ** (catalan max cos((n ** (catalan ** (n ** euler_gamma))))))) + (atan(n) % tanh(((n // cos(sin(e))) % atan(n))))) ** atan(n)) + (n ** euler_gamma)),False
12,-24658.0,19,3898.353756427765,((((n ** (catalan ** (catalan max cos((n ** (catalan ** (n ** euler_gamma))))))) + (atan(n) % tanh(((n // cos(sin(e))) % atan(n))))) ** atan(n)) + (n ** euler_gamma)),False
13,-24658.0,19,4211.7372789382935,((((n ** (catalan ** (catalan max cos((n ** (catalan ** (n ** euler_gamma))))))) + (atan(n) % tanh(((n // cos(sin(e))) % atan(n))))) ** atan(n)) + (n ** euler_gamma)),False
14,-24658.0,19,3549.6248254776,((((n ** (catalan ** (catalan max cos((n ** (catalan ** (n ** euler_gamma))))))) + (atan(n) % tanh(((n // cos(sin(e))) % atan(n))))) ** atan(n)) + (n ** euler_gamma)),False
15,-24658.0,19,4195.726972103119,((((n ** (catalan ** (catalan max cos((n ** (catalan ** (n ** euler_gamma))))))) + (atan(n) % tanh(((n // cos(sin(e))) % atan(n))))) ** atan(n)) + (n ** euler_gamma)),False
16,-24658.0,19,4169.650146245956,((((n ** (catalan ** (catalan max cos((n ** (catalan ** (n ** euler_gamma))))))) + (atan(n) % tanh(((n // cos(sin(e))) % atan(n))))) ** atan(n)) + (n ** euler_gamma)),False
17,-24658.0,19,4002.810916185379,((((n ** (catalan ** (catalan max cos((n ** (catalan ** (n ** euler_gamma))))))) + (atan(n) % tanh(((n // cos(sin(e))) % atan(n))))) ** atan(n)) + (n ** euler_gamma)),False
