n,correct_guess,correct_m,correct_upper_bound,checked_m_count
1,3,2,1,1
2,3,1,2,1
3,5,2,3,1
4,5,1,4,1
5,7,2,5,1
6,7,1,6,1
7,11,4,7,2
8,11,3,8,2
9,11,2,9,1
10,11,1,10,1
11,13,2,11,1
12,13,1,12,1
13,17,4,13,2
14,17,3,14,2
15,17,2,15,1
16,17,1,16,1
17,19,2,17,1
18,19,1,18,1
19,23,4,19,2
20,23,3,20,2
21,23,2,21,1
22,23,1,22,1
23,29,6,23,3
24,29,5,24,3
25,29,4,25,2
26,29,3,26,2
27,29,2,27,1
28,29,1,28,1
29,31,2,29,1
30,31,1,30,1
31,37,6,31,3
32,37,5,32,3
33,37,4,33,2
34,37,3,34,2
35,37,2,35,1
36,37,1,36,1
37,41,4,37,2
38,41,3,38,2
39,41,2,39,1
40,41,1,40,1
41,43,2,41,1
42,43,1,42,1
43,47,4,43,2
44,47,3,44,2
45,47,2,45,1
46,47,1,46,1
47,53,6,47,3
48,53,5,48,3
49,53,4,49,2
50,53,3,50,2
51,53,2,51,1
52,53,1,52,1
53,59,6,53,3
54,59,5,54,3
55,59,4,55,2
56,59,3,56,2
57,59,2,57,1
58,59,1,58,1
59,61,2,59,1
60,61,1,60,1
61,67,6,61,3
62,67,5,62,3
63,67,4,63,2
64,67,3,64,2
65,67,2,65,1
66,67,1,66,1
67,71,4,67,2
68,71,3,68,2
69,71,2,69,1
70,71,1,70,1
71,73,2,71,1
72,73,1,72,1
73,79,6,73,3
74,79,5,74,3
75,79,4,75,2
76,79,3,76,2
77,79,2,77,1
78,79,1,78,1
79,83,4,79,2
80,83,3,80,2
81,83,2,81,1
82,83,1,82,1
83,89,6,83,3
84,89,5,84,3
85,89,4,85,2
86,89,3,86,2
87,89,2,87,1
88,89,1,88,1
89,97,8,89,4
90,97,7,90,4
91,97,6,91,3
92,97,5,92,3
93,97,4,93,2
94,97,3,94,2
95,97,2,95,1
96,97,1,96,1
97,101,4,97,2
98,101,3,98,2
99,101,2,99,1
100,101,1,100,1
101,103,2,101,1
102,103,1,102,1
103,107,4,103,2
104,107,3,104,2
105,107,2,105,1
106,107,1,106,1
107,109,2,107,1
108,109,1,108,1
109,113,4,109,2
110,113,3,110,2
111,113,2,111,1
