Q	g	N_cur	raw	fresh	D_raw	D_fresh	N_cur_sec	raw_sec	fresh_sec	D_raw_sec	D_fresh_sec	N_cur_left	fresh_left	pct	pct_sec	fits	delta_lower	hist_range	hist_std	N_live	D_live	pct_live
997	17	50294	5912	5912	-4.9412	-4.9412	1185	137	137	-2.4118	-2.4118	25151	2954	0.9375	0.6875	1	-1.7059	6	1.4600	50294	-4.9412	0.9375
997	19	44382	5293	4674	-1.1053	2.2105	1048	121	107	-3.7368	-3.3158	22197	2339	0.5000	0.7778	1	1.2632	8	2.1739	44382	2.2105	0.5000
997	23	39708	4371	3454	-2.3913	1.1304	941	104	81	0.9565	-0.8261	19858	1729	0.5455	0.1818	0	1.7391	17	5.2654	39708	1.1304	0.5455
997	29	36254	3463	2491	-5.5517	-9.2759	860	77	53	-4.7241	-6.3103	18129	1252	0.9643	0.9643	0	nan	17	4.1250	36254	-9.2759	0.9643
997	31	33763	3247	2185	2.2258	6.7419	807	80	57	3.5484	4.9355	16877	1088	0.6000	0.9000	0	nan	16	4.5913	33763	6.7419	0.6000
997	37	31578	2719	1709	0.4054	2.0811	750	65	44	0.9459	3.4595	15789	854	0.3056	0.8333	0	nan	24	5.9665	31567	2.6757	0.4167
997	41	29869	2455	1461	1.6341	3.9756	706	61	35	3.1951	0.5610	14935	723	0.3000	0.3250	0	nan	28	5.9883	29851	4.8537	0.4750
997	43	28408	2336	1322	-3.2558	0.6977	671	50	31	-5.1163	-0.2093	14212	657	0.0714	0.0952	0	nan	34	7.6550	28387	1.6744	0.1667
997	47	27086	2143	1151	2.8298	-1.5957	640	50	29	-0.4255	1.7660	13555	565	0.1087	0.5000	0	nan	39	7.5651	27054	-0.2340	0.0217
997	53	25935	1897	962	-0.8868	-16.6792	611	41	17	-3.7170	-6.0566	12990	482	0.9423	0.9615	0	nan	24	6.1734	25890	-14.9811	0.9423
997	59	24973	1704	831	-0.8814	-15.5424	594	39	19	-1.1695	-1.1356	12508	411	0.8793	0.3103	0	nan	41	7.9037	24915	-13.5763	0.8103
997	61	24142	1648	778	-0.9836	-13.5410	575	37	16	-1.8525	-2.8525	12097	397	0.9500	0.7667	0	nan	34	6.5971	24079	-11.4754	0.8833
997	67	23364	1502	686	0.6866	-11.4328	559	34	16	-1.3731	-0.6866	11700	358	0.6818	0.1970	0	nan	35	7.8433	23282	-8.9851	0.5606
997	71	22678	1415	610	-1.7324	-28.8169	543	32	10	-1.3803	-5.2958	11342	310	0.9857	0.9000	0	nan	37	7.7142	22585	-26.1972	0.9857
997	73	22068	1377	582	-0.9178	-22.6027	533	31	10	-1.4658	-4.6027	11032	300	0.9861	0.9444	0	nan	31	7.4239	21972	-19.9726	0.9861
