Q	g	N_cur	raw	fresh	D_raw	D_fresh	N_cur_sec	raw_sec	fresh_sec	D_raw_sec	D_fresh_sec	N_cur_left	fresh_left	pct	pct_sec	fits	delta_lower	hist_range	hist_std	N_live	D_live	pct_live
59	17	177	23	23	2.1765	2.1765	9	1	1	-0.0588	-0.0588	89	12	0.8125	0.1250	0	-1.7059	4	1.2395	165	3.5882	0.9375
59	19	154	18	17	-0.6316	0.7895	8	1	1	0.0526	0.1579	77	10	0.2778	0.1111	0	1.2632	6	1.5859	140	2.2632	0.6111
59	23	137	17	13	1.6087	1.0870	7	1	1	0.2174	0.3913	67	6	0.6364	0.3182	0	1.7391	4	1.3344	119	2.6522	0.8182
59	29	124	11	9	-1.2069	0.4483	6	0	0	-0.6207	-0.4138	61	5	0.1429	0.2857	0	nan	4	1.0471	98	2.2414	0.8571
59	31	115	11	7	-0.4194	-0.4194	6	0	0	-0.5806	-0.3871	56	2	0.0333	0.3667	0	nan	5	1.1414	87	1.3871	0.4333
59	37	108	9	4	-0.5676	-1.8378	6	1	0	0.5135	-0.3243	54	2	0.8056	0.3333	0	nan	4	1.0998	69	0.2703	0.2222
59	41	104	9	4	0.3659	-1.0732	6	0	0	-0.4390	-0.2927	52	0	0.7000	0.3500	0	nan	3	0.8861	58	1.1707	0.6250
59	43	100	10	7	1.7674	2.3488	6	1	1	0.5814	0.7209	52	1	0.8095	0.8571	0	nan	4	1.1558	51	4.6279	0.9762
59	47	93	10	2	2.4681	-1.9574	5	0	0	-0.3830	-0.2128	51	0	0.6304	0.3913	0	nan	6	1.3126	33	0.5957	0.4130
59	53	91	5	0	-1.6792	-3.4340	5	0	0	-0.3396	-0.1887	51	0	0.9423	0.4038	0	nan	4	1.1053	18	-0.6792	0.6154
59	59	91	6	0	0.0000	-3.0847	5	0	0	-0.3051	-0.1695	51	0	0.9138	0.4310	0	nan	4	1.1545	5	-0.1695	0.4310
