Q	Qn	a	k_lo	k_hi	W	S	N_A	N_A_sec	twins	twins_sec	surv	surv_sec	ok	sum_fresh	R	R_sec	prod	maxDf	gDf	NcurDf	freshDf	maxDr	gDr	maxDfs	gDfs	NcurDfs	freshDfs	E_win	E_sec	top_max	room	pct_mean	pct_sec_mean	maxDl	gDl	NliveDl	pct_live_mean	E_live
23	29	19	5	139	135	51	29	8	29	8	29	8	1	0	1.0952	1.0952	0.9130	-2.5217	23	29	0	-2.5217	23	-0.6957	23	8	0	0.0000	0.0000	2.5217	3.2763	0.9545	0.5455	-0.6957	23	8	0.5455	0.0000
29	31	19	6	159	154	19	33	4	30	2	30	2	1	3	1.0694	0.5882	0.8501	-1.1379	29	31	1	-1.2759	29	1.6522	23	4	2	0.0000	0.4130	1.1379	3.3341	0.6786	0.7094	0.8696	23	13	0.7192	0.3313
31	37	19	6	227	222	67	49	16	41	11	41	11	1	8	1.0522	0.8645	0.7952	-2.6452	31	41	0	-3.1613	31	2.0345	29	14	3	0.0199	0.1834	2.6452	3.6627	0.5489	0.7780	2.8276	29	17	0.7812	0.2173
37	41	19	7	279	273	51	59	9	48	7	48	7	1	11	1.0815	1.0339	0.7522	-2.2258	31	50	1	-2.8065	31	-0.5517	29	8	0	0.0051	0.0846	2.2258	3.7928	0.5656	0.3782	2.2069	29	26	0.6667	0.1971
41	43	19	8	307	300	27	65	6	50	3	50	3	1	15	1.0750	0.6988	0.7156	-2.4390	41	50	0	-2.1935	31	0.7838	37	4	1	0.0211	0.4291	2.4390	3.8397	0.6041	0.7260	2.7931	29	32	0.6632	0.2589
43	47	19	8	367	360	59	80	14	61	11	61	11	1	19	1.1176	1.1516	0.6823	-3.0244	41	62	0	-1.3243	37	1.1613	31	13	2	0.0005	0.0893	3.0244	3.9997	0.5127	0.6197	1.8276	29	46	0.6332	0.1717
47	53	19	9	467	459	99	107	26	74	13	74	13	1	33	1.0587	0.7654	0.6532	-2.1915	47	75	1	-1.9032	31	2.2558	43	16	3	0.0066	0.3057	2.1915	4.2470	0.4060	0.5474	2.6512	43	29	0.7088	0.2512
53	59	19	10	579	570	111	131	24	87	13	87	13	1	44	1.0565	0.8617	0.6286	-3.2830	53	87	0	-2.9434	53	1.2558	43	16	2	0.0280	0.2225	3.2830	4.4109	0.5701	0.4794	3.9070	43	45	0.6631	0.2242
59	61	19	11	619	609	39	137	7	91	5	91	5	1	46	1.0938	1.1762	0.6073	-3.4340	53	91	0	-3.1698	53	0.7209	43	6	1	0.0350	0.1761	3.4340	4.4212	0.6238	0.4152	4.6279	43	51	0.5991	0.1940
61	67	19	11	747	737	127	170	32	110	19	110	19	1	60	1.1016	1.0109	0.5874	-3.7966	59	112	0	-2.9677	31	2.1321	53	23	3	0.0196	0.1396	3.7966	4.6037	0.6007	0.4672	3.5116	43	75	0.5830	0.2032
67	71	19	12	839	828	91	192	22	121	11	121	11	1	71	1.1060	0.8774	0.5698	-3.3051	59	127	1	-2.3871	31	-1.9130	23	22	0	0.0218	0.3374	3.3051	4.6951	0.6565	0.5525	4.6744	43	93	0.4986	0.2751
