Q	Qn	a	k_lo	k_hi	W	S	N_A	N_A_sec	twins	twins_sec	surv	surv_sec	ok	sum_fresh	R	R_sec	prod	maxDf	gDf	NcurDf	freshDf	maxDr	gDr	maxDfs	gDfs	NcurDfs	freshDfs	E_win	E_sec	top_max	room	pct_mean	pct_sec_mean	maxDl	gDl	NliveDl	pct_live_mean	E_live
17	19	11	4	59	56	11	19	2	17	2	17	2	1	2	1.1984	1.3394	0.7466	-2.0000	17	17	0	-1.2353	17	-0.3077	13	2	0	0.0000	0.0000	2.0000	2.6522	0.6771	0.3958	0.3077	13	11	0.2708	0.0280
19	23	11	4	87	84	27	30	10	21	4	21	4	1	9	1.0479	0.5988	0.6680	-0.9412	17	25	2	-1.1579	19	1.4615	13	10	3	0.0128	0.4090	0.9412	2.9978	0.4190	0.6343	1.6154	13	22	0.7662	0.3838
23	29	11	5	139	135	51	48	17	29	8	29	8	1	19	0.9906	0.7715	0.6099	-2.5217	23	29	0	1.6154	13	1.4706	17	13	3	0.0858	0.2893	2.5217	3.3768	0.7091	0.6624	3.1765	17	24	0.7943	0.3482
29	31	11	6	159	154	19	54	6	30	2	30	2	1	24	0.9783	0.5870	0.5679	1.8235	17	44	7	1.6923	13	1.6522	23	4	2	0.0756	0.5082	1.8235	3.4231	0.5881	0.4490	3.4706	17	30	0.8029	0.5911
31	37	11	6	227	222	67	77	23	41	11	41	11	1	36	1.0023	0.9003	0.5312	-2.6452	31	41	0	1.6897	29	2.0345	29	14	3	0.0620	0.2360	2.6452	3.7112	0.5002	0.6668	2.8276	29	17	0.8293	0.3613
37	41	11	7	279	273	51	93	15	48	7	48	7	1	45	1.0271	0.9287	0.5025	-2.2258	31	50	1	1.0588	17	0.8421	19	11	2	0.0502	0.1974	2.2258	3.8445	0.5891	0.3838	3.5263	19	52	0.7689	0.3241
41	43	11	8	307	300	27	103	10	50	3	50	3	1	53	1.0156	0.6276	0.4780	-2.4390	41	50	0	2.0435	23	0.9412	17	9	2	0.0710	0.5713	2.4390	3.8966	0.6171	0.6169	3.6842	19	60	0.7331	0.3759
43	47	11	8	367	360	59	125	21	61	11	61	11	1	64	1.0707	1.1493	0.4558	-3.0244	41	62	0	1.2941	17	1.1613	31	13	2	0.0380	0.1260	3.0244	4.0425	0.5617	0.5381	3.1765	17	92	0.7076	0.2599
47	53	13	9	467	459	99	137	31	74	13	74	13	1	63	1.0474	0.8132	0.5157	-2.1915	47	75	1	1.1702	47	2.2558	43	16	3	0.0161	0.3057	2.1915	4.2578	0.3837	0.5562	2.6512	43	29	0.7156	0.2892
53	59	13	10	579	570	111	169	32	87	13	87	13	1	82	1.0374	0.8186	0.4963	-3.2830	53	87	0	2.8085	47	1.2558	43	16	2	0.0441	0.2669	3.2830	4.4292	0.5526	0.4509	3.9070	43	45	0.6965	0.2636
59	61	13	11	619	609	39	177	9	91	5	91	5	1	86	1.0724	1.1588	0.4794	-3.4340	53	91	0	2.4681	47	0.7209	43	6	1	0.0525	0.1958	3.4340	4.4410	0.6095	0.3612	4.6279	43	51	0.6309	0.2319
61	67	13	11	747	737	127	219	41	110	19	110	19	1	109	1.0832	0.9994	0.4637	-3.7966	59	112	0	2.2353	17	2.1321	53	23	3	0.0345	0.1497	3.7966	4.6206	0.5955	0.4287	3.6471	17	207	0.6045	0.2342
67	71	13	12	839	828	91	244	25	121	11	121	11	1	123	1.1023	0.9781	0.4499	-3.3051	59	127	1	2.6170	47	-1.9412	17	25	1	0.0247	0.3374	3.3051	4.6984	0.5827	0.5728	4.6744	43	93	0.5127	0.2916
71	73	13	13	887	875	47	259	15	123	3	123	3	1	136	1.0862	0.4575	0.4372	-3.4068	59	130	1	2.9787	47	1.6316	19	13	3	0.0433	0.9290	3.4068	4.7295	0.6052	0.6242	4.4419	43	98	0.6300	0.4964
73	79	13	13	1039	1027	151	300	41	138	15	138	15	1	162	1.0818	0.8604	0.4252	-3.7808	73	138	0	2.6792	53	3.1321	53	23	4	0.0488	0.3772	3.7808	4.8486	0.6218	0.5421	5.2791	43	123	0.5477	0.2892
79	83	13	14	1147	1134	107	335	34	152	14	152	14	1	183	1.0948	0.9935	0.4145	-4.1644	73	152	0	2.3585	53	1.8421	19	30	5	0.0505	0.2166	4.1644	4.9333	0.6655	0.4380	5.3488	43	143	0.6133	0.2629
83	89	13	15	1319	1305	171	385	49	166	14	166	14	1	219	1.0660	0.7064	0.4045	4.4194	31	257	21	-1.7805	41	2.9355	31	32	5	0.0636	0.4414	4.2025	5.0481	0.6963	0.4488	6.1613	31	230	0.6388	0.2934
89	97	13	16	1567	1552	247	458	72	187	21	187	21	1	271	1.0327	0.7377	0.3954	3.7612	67	209	10	3.3284	67	2.9565	23	58	8	0.0744	0.4123	3.7612	5.1990	0.7421	0.5716	7.0149	67	100	0.5955	0.3252
97	101	13	17	1699	1683	131	500	41	202	15	202	15	1	298	1.0433	0.9448	0.3872	4.4516	31	334	26	-2.6986	73	1.8293	41	24	3	0.0664	0.3278	4.1649	5.2659	0.6771	0.5385	6.5075	67	117	0.6368	0.2898
101	103	13	18	1767	1750	67	518	19	208	7	208	7	1	310	1.0579	0.9707	0.3796	4.7419	31	345	27	-3.1918	73	1.4054	37	11	2	0.0648	0.4271	4.2887	5.2812	0.6495	0.4728	6.4194	31	319	0.6780	0.2686
103	107	13	18	1907	1890	139	560	41	218	10	218	10	1	342	1.0459	0.6553	0.3722	-4.5361	97	220	0	-3.3425	73	2.1489	47	20	3	0.0652	0.6060	4.5361	5.3396	0.6405	0.5979	5.7910	67	141	0.6951	0.3683
107	109	13	19	1979	1961	71	580	20	223	6	223	6	1	357	1.0527	0.8214	0.3652	-4.6598	97	226	0	-3.8904	73	-1.8947	19	18	0	0.0683	0.6114	4.6598	5.3558	0.6617	0.5626	6.5224	67	150	0.6948	0.4459
109	113	13	19	2127	2109	147	624	44	234	11	234	11	1	390	1.0459	0.6973	0.3585	-4.2936	109	234	0	-3.4118	17	1.6203	79	15	2	0.0716	0.6046	4.2936	5.4104	0.6720	0.5873	6.0000	43	301	0.7138	0.3417
113	127	13	20	2687	2668	559	789	164	276	42	276	42	1	513	0.9933	0.7272	0.3522	5.4884	43	441	26	-3.6164	73	-3.2759	29	120	5	0.0751	0.3855	4.8850	5.6272	0.6073	0.6679	7.6279	43	395	0.8326	0.3731
127	131	13	22	2859	2838	171	838	48	288	12	288	12	1	550	0.9915	0.7212	0.3466	6.0755	53	422	22	-3.7931	29	2.0943	53	24	3	0.0778	0.5782	5.1150	5.6715	0.5636	0.5326	8.7170	53	352	0.8049	0.4143
131	137	13	23	3127	3105	267	921	82	315	27	315	27	1	606	1.0020	0.9646	0.3413	-5.6460	113	319	0	-4.4194	31	-2.6774	31	57	1	0.0656	0.2565	5.6460	5.7506	0.5408	0.5029	8.0189	53	397	0.8146	0.3896
137	139	13	24	3219	3196	91	947	27	320	6	320	6	1	627	1.0046	0.6607	0.3364	5.1628	43	534	30	-5.0968	31	-2.1765	17	27	1	0.0702	0.8026	4.7522	5.7637	0.6106	0.5928	7.4528	53	412	0.8349	0.3803
139	149	13	24	3699	3676	479	1088	140	365	45	365	45	1	723	1.0119	0.9696	0.3315	-5.6372	113	375	1	-5.1935	31	2.5294	17	140	19	0.0637	0.1940	5.6372	5.8880	0.5831	0.4625	7.7358	53	484	0.7589	0.3075
149	151	13	26	3799	3774	99	1116	28	374	10	374	10	1	742	1.0246	1.0919	0.3271	4.9180	61	521	22	-4.8305	59	-1.2941	17	28	2	0.0628	0.3475	4.8319	5.8999	0.6156	0.4792	7.7377	61	435	0.7441	0.3512
151	157	13	26	4107	4082	307	1210	94	394	20	394	20	1	816	1.0089	0.6592	0.3227	5.8302	53	614	29	-6.0645	31	2.4483	29	66	7	0.0774	0.5482	5.2743	5.9675	0.6827	0.5782	8.3962	53	546	0.7791	0.3469
157	163	13	27	4427	4401	319	1304	94	411	17	411	17	1	893	0.9892	0.5676	0.3186	8.0943	53	660	33	3.6966	89	3.4419	43	55	6	0.0925	0.6925	5.6637	6.0295	0.6724	0.6240	10.6604	53	592	0.7599	0.4003
163	167	13	28	4647	4620	219	1369	64	432	21	432	21	1	937	1.0027	1.0426	0.3147	8.0465	43	773	44	-5.4138	29	-2.2414	29	47	1	0.0824	0.3239	6.1062	6.0658	0.6336	0.5409	10.2642	53	629	0.7498	0.3577
167	173	13	29	4987	4959	339	1469	99	455	23	455	23	1	1014	0.9961	0.7471	0.3110	8.3284	67	659	28	-6.3103	29	2.6810	163	26	3	0.0895	0.4532	5.6726	6.1242	0.6927	0.5066	11.4627	67	554	0.7464	0.3850
173	179	17	30	5339	5310	351	1391	92	480	25	480	25	1	911	0.9906	0.7801	0.3483	7.9552	67	705	29	3.9325	163	2.7021	47	54	5	0.0897	0.4314	5.7605	6.1832	0.7172	0.5172	11.0896	67	600	0.7917	0.3854
179	181	17	31	5459	5429	119	1423	33	492	13	492	13	1	931	1.0038	1.1437	0.3444	7.3881	67	724	29	-3.9189	37	1.6699	103	17	2	0.0859	0.4265	4.9281	6.1947	0.7372	0.5449	10.4925	67	620	0.7571	0.4008
