target: hop H_g(s) of gear 13 at the lower landing x on 5+7+11+13 (H=0 at 0.846, mean 0.43, max 7); inputs = components at x
  gen    0: best exact-match 0.8611  size 5  lt(mul(19, aTOP), bTOP)   | unseen machine exact-match 0.8914
  gen   25: best exact-match 0.8761  size 5  lt(mul(aTOP, bTOP), 2)   | unseen machine exact-match 0.9004
  gen   50: best exact-match 0.8761  size 5  lt(mul(aTOP, bTOP), 2)   | unseen machine exact-match 0.9004
  gen   75: best exact-match 0.8761  size 5  lt(mul(aTOP, bTOP), 2)   | unseen machine exact-match 0.9004
  gen  100: best exact-match 0.8761  size 5  lt(mul(aTOP, bTOP), 2)   | unseen machine exact-match 0.9004
  gen  125: best exact-match 0.8761  size 5  lt(mul(aTOP, bTOP), 2)   | unseen machine exact-match 0.9004
  gen  150: best exact-match 0.8761  size 5  lt(mul(aTOP, bTOP), 2)   | unseen machine exact-match 0.9004
  gen  175: best exact-match 0.8761  size 5  lt(mul(aTOP, bTOP), 2)   | unseen machine exact-match 0.9004
  gen  200: best exact-match 0.8761  size 5  lt(mul(aTOP, bTOP), 2)   | unseen machine exact-match 0.9004
  gen  225: best exact-match 0.8761  size 5  lt(mul(aTOP, bTOP), 2)   | unseen machine exact-match 0.9004
  gen  250: best exact-match 0.8761  size 5  lt(mul(aTOP, bTOP), 2)   | unseen machine exact-match 0.9004
  gen  275: best exact-match 0.9081  size 11  ite(mul(aTOP, bTOP), mod(b11, b11), ite(b11, 2, b11))   | unseen machine exact-match 0.9215
  gen  300: best exact-match 0.9081  size 6  ite(mul(aTOP, bTOP), 0, 2)   | unseen machine exact-match 0.9215
  gen  325: best exact-match 0.9081  size 6  ite(mul(aTOP, bTOP), 0, 2)   | unseen machine exact-match 0.9215
  gen  350: best exact-match 0.9081  size 6  ite(mul(aTOP, bTOP), 0, 2)   | unseen machine exact-match 0.9215
  gen  375: best exact-match 0.9081  size 6  ite(mul(aTOP, bTOP), 0, 2)   | unseen machine exact-match 0.9215
  gen  399: best exact-match 0.9081  size 6  ite(mul(aTOP, bTOP), 0, 2)   | unseen machine exact-match 0.9215
