(a) the multiplier against the gears the landing already carries, 400 landings near 1e6
    gears in the landing     n     mean j   median   min   max
    (none)                 191     37.7       25     4   189
    (5,)                    92     20.6       15     2    92
    (7,)                    50     33.9       19     4   164
    (11,)                   24     37.1       29     4   119
    (5, 7)                  19     15.1        8     2   127
    (5, 11)                 15     18.9       14     4    69
    (7, 11)                  7     15.1       16     4    36
    (5, 7, 11)               2     11.5       20     3    20

(b) the enriching chain from 12: multiply by the smallest missing gear times a small m
  step   new gear   multiplier j   m = j / p   landing digits   gears carried   j as share of the allowance
     1          5              5           1                2               3   0.42
     2          7              7           1                3               4   0.12
     3         11             22           2                4               5   0.052
     4         13             91           7                6               6   0.0098
     5         17            102           6                8               7   0.00012
     6         19            380          20               11               8   4.4e-06
     7         23           1311          57               14               9   4e-08
     8         29            203           7               16              10   4.8e-12
     9         31            899          29               19              11   1e-13
    10         37            851          23               22              12   1.1e-16
    11         41           1394          34               25              13   2.1e-19
    12         43           4945         115               29              14   5.3e-22
    13         47            940          20               32              15   2.1e-26
    14         53           1643          31               35              16   3.8e-29
    15         59           3776          64               39              17   5.3e-32
    16         61             61           1               41              18   2.3e-37
    17         67          44689         667               45              19   2.7e-36
    18         71          14839         209               50              20   2e-41
    19         73          46209         633               54              22   4.3e-45
    20         79          15484         196               58              23   3.1e-50
    21         83           4399          53               62              24   5.7e-55
