machine | field | kills in window | mirror is a kill of the same field | mirror is a kill of any field | mirror is a twin member
5 | higher:5 | 1 | 0/1 | 0/1 | 1/1
5 | lower:5 | 1 | 0/1 | 0/1 | 1/1
5 | multiples | 1 | 0/1 | 0/1 | 1/1
5 | products:2 | 1 | 0/1 | 0/1 | 1/1
5 | squares | 1 | 0/1 | 0/1 | 1/1
7 | higher:5 | 2 | 2/2 | 2/2 | 0/2
7 | higher:7 | 1 | 1/1 | 1/1 | 0/1
7 | higher1:5 | 1 | 0/1 | 1/1 | 0/1
7 | lower:5 | 1 | 0/1 | 1/1 | 0/1
7 | lower:7 | 2 | 1/2 | 2/2 | 0/2
7 | lower1:7 | 1 | 1/1 | 1/1 | 0/1
7 | multiples | 3 | 3/3 | 3/3 | 0/3
7 | products:2 | 3 | 2/3 | 3/3 | 0/3
7 | squares | 2 | 0/2 | 2/2 | 0/2
11 | higher:5 | 7 | 7/7 | 7/7 | 0/7
11 | higher:7 | 4 | 4/4 | 4/4 | 0/4
11 | higher:11 | 1 | 1/1 | 1/1 | 0/1
11 | higher1:5 | 6 | 4/6 | 6/6 | 0/6
11 | higher1:7 | 3 | 3/3 | 3/3 | 0/3
11 | lower:5 | 1 | 0/1 | 1/1 | 0/1
11 | lower:7 | 2 | 0/2 | 2/2 | 0/2
11 | lower:11 | 3 | 0/3 | 3/3 | 0/3
11 | lower:13 | 2 | 0/2 | 2/2 | 0/2
11 | lower:17 | 2 | 0/2 | 2/2 | 0/2
11 | lower:19 | 1 | 0/1 | 1/1 | 0/1
11 | lower:23 | 1 | 0/1 | 1/1 | 0/1
11 | lower1:7 | 1 | 0/1 | 1/1 | 0/1
11 | lower1:11 | 2 | 0/2 | 2/2 | 0/2
11 | lower1:13 | 2 | 0/2 | 2/2 | 0/2
11 | lower1:17 | 2 | 0/2 | 2/2 | 0/2
11 | lower1:19 | 1 | 0/1 | 1/1 | 0/1
11 | lower1:23 | 1 | 0/1 | 1/1 | 0/1
11 | multiples | 12 | 12/12 | 12/12 | 0/12
11 | products:2 | 12 | 7/12 | 12/12 | 0/12
11 | squares | 3 | 0/3 | 3/3 | 0/3
13 | higher:5 | 10 | 10/10 | 10/10 | 0/10
13 | higher:7 | 6 | 6/6 | 6/6 | 0/6
13 | higher:11 | 2 | 2/2 | 2/2 | 0/2
13 | higher:13 | 1 | 1/1 | 1/1 | 0/1
13 | higher1:5 | 8 | 6/8 | 8/8 | 0/8
13 | higher1:7 | 5 | 4/5 | 5/5 | 0/5
13 | higher1:11 | 1 | 0/1 | 1/1 | 0/1
13 | lower:5 | 2 | 0/2 | 2/2 | 0/2
13 | lower:7 | 2 | 0/2 | 2/2 | 0/2
13 | lower:11 | 3 | 0/3 | 3/3 | 0/3
13 | lower:13 | 4 | 0/4 | 4/4 | 0/4
13 | lower:17 | 2 | 0/2 | 2/2 | 0/2
