all multipliers j <= t - 3 with t * j a twin centre
      t   allowance   working j   first   share of working j sharing a gear with t
     12           8           3       5                          66.7%
     18          14           5       4                          80.0%
     30          26          10       2                          90.0%
     42          38           7      10                          57.1%
     60          56          13       3                          76.9%
     72          68           9       6                          77.8%
    102          98           9      10                          77.8%
    108         104           9       4                         100.0%
    138         134          12       6                          58.3%
    150         146          24       4                          58.3%
    180         176          22       9                          77.3%
    192         188          17       6                          70.6%
    198         194          19      15                          68.4%
    228         224          18      21                          61.1%
    240         236          27      13                          81.5%
    270         266          31       3                          80.6%
    282         278          21      15                          57.1%
    462         458          45       5                          73.3%
    522         518          38       4                          73.7%
    570         566          59      11                          71.2%
    600         596          49       5                          77.6%
    618         614          37      26                          64.9%
    642         638          40       6                          67.5%
    660         656          72       2                          75.0%
    810         806          72       2                          68.1%
    822         818          46       6                          63.0%
   1020        1016          80       5                          72.5%
   1032        1028          59       4                          67.8%
   1050        1046         119       6                          77.3%
   1062        1058          50      14                          64.0%
   1092        1088          79       6                          79.7%
   1152        1148          55      20                          65.5%
   1230        1226          93       9                          75.3%
   1278        1274          61      46                          73.8%
   1290        1286          94       5                          73.4%
   1302        1298          79       9                          74.7%
   1320        1316         121       4                          76.9%
   1428        1424          95      14                          70.5%
   1452        1448          70      11                          72.9%
   1482        1478          87       9                          74.7%
   1488        1484          68      20                          67.6%
   1608        1604          71      21                          69.0%
   1620        1616         111       6                          70.3%
   1668        1664          67       6                          59.7%
   1698        1694          72       4                          63.9%
   1722        1718         106       6                          73.6%
   1788        1784          75      14                          68.0%
   1872        1868          69       4                          72.5%
   1932        1928         103       9                          75.7%
   1950        1946         161       3                          73.9%
   1998        1994          80      21                          63.8%
   2028        2024          92       5                          63.0%
   2088        2084         100      15                          61.0%
   2130        2126         132       2                          77.3%
   2142        2138         139       5                          70.5%
   2238        2234          93      30                          68.8%
   2310        2306         247       4                          79.8%
   2340        2336         163       5                          71.8%
   2382        2378          87      14                          70.1%
   2550        2546         167       2                          74.3%
   2688        2684         138      10                          68.8%
   2730        2726         284       8                          77.1%
   2802        2798          98       5                          73.5%
   2970        2966         210       9                          71.9%

landings with no working multiplier: 0 of 80
smallest margin: 3 (at t = 12)
  t in [  12,  300):  17 landings, working multipliers 3 to 31, mean 15.1, mean share of the allowance 16.46%
  t in [ 300, 1000):  16 landings, working multipliers 19 to 72, mean 47.5, mean share of the allowance 8.00%
  t in [1000, 2000):  26 landings, working multipliers 50 to 161, mean 84.6, mean share of the allowance 5.92%
  t in [2000, 3000):  20 landings, working multipliers 87 to 284, mean 136.5, mean share of the allowance 5.61%
