law check: teeth at +-v, gears dividing 12g never strike
  q =  1000  g =   5  K = 80  mismatches: 0
  q =  1000  g =  37  K = 80  mismatches: 0
  q =  5000  g =  71  K = 80  mismatches: 0

open candidates by mirror, corrected family, K = (ln q)^3
    q   mirror  stride    K   span  open  first   window affords
   101  1          12    98     90    16      9   842
   101  5          60    98     97    22      3   169
   101  7          84    98     97    16      5   120
   101  11*       132    98     77    11      5   77
   101  11*       132    98     77    11      5   77

   251  1          12   168    147    21     26   5,229
   251  5          60   168    164    32      7   1,046
   251  7          84   168    165    22      5   747
   251  11        132   168    167    21      5   476
   251  17*       204   168    167    16      5   307

   503  1          12   240    198    25     50   21,042
   503  5          60   240    232    40     10   4,208
   503  7          84   240    234    29     13   3,006
   503  11        132   240    237    28      5   1,913
   503  23*       276   240    239    19      3   915

  1009  1          12   330    246    35     85   84,756
  1009  5          60   330    314    48     17   16,952
  1009  7          84   330    318    38     13   12,108
  1009  11        132   330    323    31     10   7,705
  1009  37*       444   330    328    24     15   2,290

  2003  1          12   439    272    33    169   334,167
  2003  5          60   439    406    56     39   66,833
  2003  7          84   439    416    49     27   47,739
  2003  11        132   439    424    39     16   30,379
  2003  47*       564   439    436    31     10   7,110

  5003  1          12   617    200    22    425   2,085,417
  5003  5          60   617    534    69     85   417,083
  5003  7          84   617    558    55     70   297,917
  5003  11        132   617    580    47     40   189,584
  5003  71*       852   617    612    31     19   29,372

 10007  1          12   781      0     0   None   8,344,170
 10007  5          60   781    615    68    169   1,668,834
 10007  7          84   781    662    65    123   1,192,024
 10007  11        132   781    706    58     79   758,561
 10007  101*     1212   781    773    48     19   82,615

 20011  1          12   971      0     0   None   33,368,343
 20011  5          60   971    638    72    344   6,673,669
 20011  7          84   971    733    67    247   4,766,906
 20011  11        132   971    820    59    164   3,033,486
 20011  149*     1788   971    960    41     14   223,948

(* = first gear above sqrt q; mirror 1 = {2,3}, 5 = {2,3,5}, ...)

every machine 11..20011, mirror {2,3,5}, K = (ln q)^3:
  machines with none: [] (count 0);  fewest open 1 at q = 11;  first-open offset 0..27, mean 4.7
