the {3, h} rows per machine: hits of the form S = {3, h} with h a single gear above sqrt q (landing E +- 6h); listed as h+ or h-
q = 11: E = 23; gears above sqrt q in reach 3 (x2 directions); hits 0: 
q = 13: E = 47; gears above sqrt q in reach 4 (x2 directions); hits 1: 5-
q = 17: E = 155; gears above sqrt q in reach 5 (x2 directions); hits 1: 7+
q = 19: E = 71; gears above sqrt q in reach 6 (x2 directions); hits 5: 5+ 5- 7- 11+ 13+
q = 23: E = 203; gears above sqrt q in reach 7 (x2 directions); hits 4: 11+ 11- 13+ 17-
q = 29: E = 143; gears above sqrt q in reach 7 (x2 directions); hits 3: 7- 17- 23+
q = 31: E = 227; gears above sqrt q in reach 8 (x2 directions); hits 3: 7+ 13- 31-
q = 37: E = 215; gears above sqrt q in reach 9 (x2 directions); hits 5: 11+ 11- 13- 19- 29-
q = 41: E = 275; gears above sqrt q in reach 10 (x2 directions); hits 5: 13- 23- 29- 31+ 41+
q = 43: E = 239; gears above sqrt q in reach 11 (x2 directions); hits 5: 7+ 7- 17- 23- 37+
q = 47: E = 323; gears above sqrt q in reach 12 (x2 directions); hits 6: 7- 23+ 29- 31- 37- 41+
q = 53: E = 311; gears above sqrt q in reach 12 (x2 directions); hits 3: 19- 29- 43+
q = 59: E = 395; gears above sqrt q in reach 13 (x2 directions); hits 7: 11+ 19- 29+ 37+ 41+ 41- 43-
q = 61: E = 1979; gears above sqrt q in reach 14 (x2 directions); hits 5: 17+ 17- 43+ 43- 47-
q = 67: E = 2039; gears above sqrt q in reach 15 (x2 directions); hits 2: 17+ 53-
q = 71: E = 2219; gears above sqrt q in reach 16 (x2 directions); hits 3: 13- 23- 37-
q = 73: E = 2159; gears above sqrt q in reach 17 (x2 directions); hits 5: 13+ 13- 37+ 47- 73-
q = 79: E = 2579; gears above sqrt q in reach 18 (x2 directions); hits 3: 13+ 37+ 73-
q = 83: E = 2399; gears above sqrt q in reach 19 (x2 directions); hits 5: 43+ 43- 53- 67+ 67-
q = 89: E = 2939; gears above sqrt q in reach 20 (x2 directions); hits 3: 23- 47- 53+
q = 97: E = 2879; gears above sqrt q in reach 21 (x2 directions); hits 4: 13- 37- 83- 97+
q = 101: E = 3179; gears above sqrt q in reach 22 (x2 directions); hits 3: 13+ 47+ 67+
q = 103: E = 2999; gears above sqrt q in reach 23 (x2 directions); hits 3: 43+ 97+ 103-
q = 107: E = 3419; gears above sqrt q in reach 24 (x2 directions); hits 5: 23+ 67+ 83+ 97+ 103-
q = 109: E = 3119; gears above sqrt q in reach 25 (x2 directions); hits 3: 23+ 53- 73+
q = 113: E = 3659; gears above sqrt q in reach 26 (x2 directions); hits 7: 13- 17- 43+ 67- 83+ 97+ 113+
q = 127: E = 3959; gears above sqrt q in reach 26 (x2 directions); hits 7: 23- 43+ 47+ 67- 83- 113+ 127+
q = 131: E = 3899; gears above sqrt q in reach 27 (x2 directions); hits 10: 13- 17+ 43+ 53+ 53- 73+ 73- 97+ 103+ 107-
q = 137: E = 4319; gears above sqrt q in reach 28 (x2 directions); hits 9: 13- 17+ 17- 53+ 53- 67+ 67- 83- 127-
q = 139: E = 4019; gears above sqrt q in reach 29 (x2 directions); hits 9: 17- 23+ 37+ 53+ 67+ 73- 83+ 103+ 127-
q = 149: E = 4919; gears above sqrt q in reach 30 (x2 directions); hits 11: 17+ 47- 67- 73- 83+ 83- 97+ 97- 113- 127- 137+
q = 151: E = 4139; gears above sqrt q in reach 31 (x2 directions); hits 10: 13+ 17+ 23- 37- 47+ 53- 83+ 97+ 97- 113-
q = 157: E = 5279; gears above sqrt q in reach 32 (x2 directions); hits 6: 23+ 37+ 43- 107- 127- 157-
q = 163: E = 4499; gears above sqrt q in reach 33 (x2 directions); hits 11: 13- 23+ 37+ 43- 47- 83- 97- 113- 157+ 157- 163+
