phase 2 by residue avoidance, machines 11..20000: q | high gears in reach (both directions counted) | passing (up, down) | smallest passing h (dir) | its landing L
11 | 3 | (0, 0) | None | None
13 | 5 | (0, 1) | (5, -1) | 17
17 | 10 | (1, 0) | (7, 1) | 197
19 | 8 | (3, 2) | (5, 1) | 101
23 | 14 | (2, 2) | (11, 1) | 269
29 | 11 | (1, 2) | (7, -1) | 101
31 | 16 | (1, 2) | (7, 1) | 269
37 | 16 | (1, 4) | (11, 1) | 281
41 | 19 | (2, 3) | (13, -1) | 197
43 | 19 | (2, 3) | (7, 1) | 281
47 | 23 | (2, 4) | (7, -1) | 281
53 | 21 | (1, 2) | (19, -1) | 197
59 | 25 | (4, 3) | (11, 1) | 461
61 | 28 | (2, 3) | (17, 1) | 2081
67 | 30 | (1, 1) | (17, 1) | 2141
71 | 32 | (0, 3) | (13, -1) | 2141
73 | 34 | (2, 3) | (13, 1) | 2237
79 | 36 | (2, 1) | (13, 1) | 2657
83 | 38 | (2, 3) | (43, 1) | 2657
89 | 40 | (1, 2) | (23, -1) | 2801
97 | 42 | (1, 3) | (13, -1) | 2801
101 | 44 | (3, 0) | (13, 1) | 3257
103 | 46 | (2, 1) | (43, 1) | 3257
107 | 48 | (4, 1) | (23, 1) | 3557
109 | 50 | (2, 1) | (23, 1) | 3257
113 | 52 | (4, 3) | (13, -1) | 3581
127 | 52 | (4, 3) | (23, -1) | 3821
131 | 54 | (6, 4) | (13, -1) | 3821
137 | 56 | (3, 6) | (13, -1) | 4241
139 | 58 | (6, 3) | (17, -1) | 3917
149 | 60 | (4, 7) | (17, 1) | 5021
151 | 62 | (5, 5) | (13, 1) | 4217
157 | 64 | (2, 4) | (23, 1) | 5417
163 | 66 | (4, 7) | (13, -1) | 4421
167 | 68 | (3, 4) | (13, -1) | 5441
173 | 68 | (3, 7) | (23, -1) | 4721
179 | 70 | (2, 4) | (23, -1) | 5741
181 | 72 | (4, 6) | (43, -1) | 4721
191 | 74 | (3, 5) | (37, 1) | 6701
193 | 76 | (3, 5) | (53, 1) | 5417
197 | 78 | (2, 1) | (163, -1) | 5741
199 | 80 | (5, 4) | (37, 1) | 5441
1009 | 316 | (8, 7) | (107, 1) | 225341
1013 | 318 | (8, 8) | (107, 1) | 201401
1019 | 320 | (7, 8) | (53, -1) | 226901
1021 | 322 | (3, 8) | (37, 1) | 201821
2003 | 580 | (12, 9) | (67, 1) | 432161
2011 | 582 | (13, 10) | (47, 1) | 413141
2017 | 584 | (11, 6) | (47, 1) | 434561
2027 | 586 | (11, 9) | (53, 1) | 417377
2029 | 588 | (6, 8) | (47, 1) | 435401
3001 | 830 | (17, 11) | (227, 1) | 621701
3011 | 832 | (23, 14) | (163, -1) | 643301
3019 | 834 | (19, 19) | (73, -1) | 623261
3023 | 836 | (14, 19) | (227, -1) | 644597
4001 | 1066 | (17, 22) | (67, -1) | 843377
4003 | 1068 | (14, 17) | (67, -1) | 837077
4007 | 1070 | (17, 15) | (157, 1) | 846401
4013 | 1072 | (18, 13) | (137, 1) | 840821
4019 | 1074 | (17, 17) | (157, 1) | 848921
4021 | 1076 | (12, 21) | (103, 1) | 841457
4027 | 1078 | (20, 19) | (73, -1) | 850061
5003 | 1302 | (14, 22) | (73, -1) | 11711261
5009 | 1304 | (13, 17) | (227, 1) | 11431241
5011 | 1306 | (12, 20) | (137, -1) | 11720117
5021 | 1308 | (20, 12) | (193, 1) | 11477237
5023 | 1310 | (13, 25) | (457, -1) | 11727437
6007 | 1526 | (17, 20) | (137, -1) | 14279597
6011 | 1528 | (21, 17) | (103, -1) | 13489781
6029 | 1530 | (21, 21) | (107, -1) | 14362937
7001 | 1756 | (22, 20) | (103, 1) | 15985817
7013 | 1758 | (24, 15) | (137, 1) | 16415681
7019 | 1760 | (28, 23) | (227, -1) | 16011557
7027 | 1762 | (21, 21) | (107, -1) | 16451177
8009 | 1968 | (20, 23) | (137, 1) | 18873521
8011 | 1970 | (21, 22) | (137, 1) | 18138941
8017 | 1972 | (21, 23) | (283, -1) | 18898721
9001 | 2188 | (18, 31) | (107, 1) | 21358901
9007 | 2190 | (24, 26) | (263, -1) | 20252501
9011 | 2192 | (21, 19) | (157, -1) | 21375797
9013 | 2194 | (32, 23) | (193, 1) | 20264477
9029 | 2196 | (22, 22) | (257, 1) | 21452201
10007 | 2410 | (25, 24) | (107, 1) | 23835221
10009 | 2412 | (25, 20) | (107, 1) | 22407641
11003 | 2618 | (20, 29) | (137, 1) | 26163881
11027 | 2620 | (28, 27) | (353, 1) | 24783797
12007 | 2820 | (24, 33) | (173, 1) | 27074237
12011 | 2822 | (24, 22) | (733, -1) | 28413221
13001 | 3036 | (37, 31) | (347, -1) | 30762497
13003 | 3038 | (28, 37) | (283, -1) | 29307581
13007 | 3040 | (28, 26) | (137, -1) | 30782237
13009 | 3042 | (37, 41) | (137, 1) | 29319341
14009 | 3246 | (45, 33) | (347, 1) | 31713761
14011 | 3248 | (34, 32) | (443, -1) | 33016481
14029 | 3250 | (38, 36) | (523, 1) | 31797977
15013 | 3450 | (39, 39) | (157, 1) | 34207421
15017 | 3452 | (37, 37) | (353, 1) | 35174177
16001 | 3666 | (34, 47) | (397, -1) | 36440177
16007 | 3668 | (34, 50) | (193, -1) | 37508621
17011 | 3860 | (27, 40) | (193, -1) | 38732921
17021 | 3862 | (32, 39) | (457, -1) | 39900197
17027 | 3864 | (31, 34) | (137, -1) | 38760977
17029 | 3866 | (42, 33) | (263, -1) | 39910601
18013 | 4066 | (43, 34) | (593, -1) | 41160641
19001 | 4252 | (34, 36) | (773, 1) | 43580477
19009 | 4254 | (38, 36) | (263, 1) | 44247317
19013 | 4256 | (44, 35) | (353, 1) | 43596437

machines 2258: some passing high gear at 2257; none at [11]
passing share among gears in reach: mean 0.028; smallest passing h / sqrt q: median 1.85, max 14.64
