machines just below multiples of primorials: distance to the first twin above
   primorial P#     k       q = prime below k*P#      D = first twin - q   D/(ln q)^2
             5#     1                       3                     2        1.66
             5#     2                       7                     4        1.06
             5#     3                      13                     4        0.61
             5#     4                      19                    10        1.15
             5#     5                      23                     6        0.61
             5#     6                      29                    12        1.06
             5#     7                      31                    10        0.85
             7#     1                      31                    10        0.85
             7#     2                      67                     4        0.23
             7#     3                     103                     4        0.19
             7#     4                     139                    10        0.41
             7#     5                     173                     6        0.23
             7#     6                     199                    28        1.00
             7#     7                     241                    28        0.93
            11#     1                     383                    36        1.02
            11#     2                     769                    40        0.91
            11#     3                    1153                    76        1.53
            11#     4                    1531                    76        1.41
            11#     5                    1913                    18        0.32
            11#     6                    2309                    30        0.50
            11#     7                    2693                    18        0.29
            13#     1                    5003                     6        0.08
            13#     2                   10009                    28        0.33
            13#     3                   15013                   124        1.34
            13#     4                   20011                    10        0.10
            13#     5                   25013                    18        0.18
            13#     6                   30029                    60        0.56
            13#     7                   35027                    24        0.22
            17#     1                   85081                    10        0.08
            17#     2                  170167                   184        1.27
            17#     3                  255253                   214        1.38
            17#     4                  340339                   112        0.69
            17#     5                  425423                    18        0.11
            17#     6                  510481                    70        0.41
            17#     7                  595579                   130        0.74
            19#     1                 1616611                    10        0.05
            19#     2                 3233227                   130        0.58
            19#     3                 4849843                    64        0.27
            19#     4                 6466457                    30        0.12
            19#     5                 8083073                   216        0.85
            19#     6                 9699667                    64        0.25
            19#     7                11316289                   232        0.88
            23#     1                37182133                   358        1.18
            23#     2                74364289                   130        0.40
            23#     3               111546433                   328        0.96
            23#     4               148728497                   390        1.10
            23#     5               185910721                   490        1.35
            23#     6               223092827                   684        1.85
            23#     7               260275009                    22        0.06

worst poison machine: D = 684 at q = 223092827, against the all-machine record 1722 at q = 9923987
